year/week,FALCON-VE
10/16/2011,9
10/23/2011,11
10/30/2011,17
11/6/2011,12
11/13/2011,30
11/20/2011,40
11/27/2011,35
12/4/2011,34
12/11/2011,27
12/18/2011,11
12/25/2011,9
1/1/2012,26
1/8/2012,26
1/15/2012,23
1/22/2012,13
1/29/2012,10
2/5/2012,12
2/12/2012,8
2/19/2012,11
2/26/2012,15
3/4/2012,8
3/11/2012,8
3/18/2012,10
3/25/2012,1
4/1/2012,3
4/8/2012,14
4/15/2012,4
4/22/2012,5
4/29/2012,5
5/6/2012,6
5/13/2012,11
5/20/2012,6
5/27/2012,10
6/3/2012,5
6/10/2012,8
6/17/2012,7
6/24/2012,4
7/1/2012,7
7/8/2012,6
7/15/2012,9
7/22/2012,3
7/29/2012,4
8/5/2012,2
8/12/2012,9
8/19/2012,11
8/26/2012,13
9/2/2012,9
9/9/2012,13
9/16/2012,13
9/23/2012,11
9/30/2012,8
10/7/2012,7
10/14/2012,17
10/21/2012,15
10/28/2012,41
11/4/2012,36
11/11/2012,28
11/18/2012,35
11/25/2012,27
12/2/2012,49
12/9/2012,24
12/16/2012,26
12/23/2012,23
12/30/2012,7
1/6/2013,32
1/13/2013,29
1/20/2013,43
1/27/2013,31
2/3/2013,34
2/10/2013,14
2/17/2013,13
2/24/2013,13
3/3/2013,27
3/10/2013,6
3/17/2013,22
3/24/2013,11
3/31/2013,11
4/7/2013,7
4/14/2013,4
4/21/2013,17
4/28/2013,8
5/5/2013,13
5/12/2013,17
5/19/2013,20
5/26/2013,37
6/2/2013,16
6/9/2013,21
6/16/2013,26
6/23/2013,13
6/30/2013,11
7/7/2013,25
7/14/2013,3
7/21/2013,4
7/28/2013,8
8/4/2013,13
8/11/2013,12
8/18/2013,13
8/25/2013,16
9/1/2013,14
9/8/2013,12
9/15/2013,29
9/22/2013,33
9/29/2013,19
10/6/2013,24
10/13/2013,45
10/20/2013,53
10/27/2013,65
11/3/2013,39
11/10/2013,30
11/17/2013,49
11/24/2013,50
12/1/2013,58
12/8/2013,56
12/15/2013,46
12/22/2013,31
12/29/2013,37
1/5/2014,115
1/12/2014,110
1/19/2014,104
1/26/2014,115
2/2/2014,80
2/9/2014,91
2/16/2014,64
2/23/2014,48
3/2/2014,40
3/9/2014,49
3/16/2014,29
3/23/2014,27
3/30/2014,20
4/6/2014,15
4/13/2014,11
4/20/2014,13
4/27/2014,7
5/4/2014,7
5/11/2014,9
5/18/2014,8
5/25/2014,13
6/1/2014,7
6/8/2014,14
6/15/2014,15
6/22/2014,9
6/29/2014,9
7/6/2014,5
7/13/2014,19
7/20/2014,5
7/27/2014,11
8/3/2014,19
8/10/2014,9
8/17/2014,12
8/24/2014,32
8/31/2014,38
9/7/2014,93
9/14/2014,136
9/21/2014,283
9/28/2014,273
10/5/2014,287
10/12/2014,226
10/19/2014,105
10/26/2014,69
11/2/2014,45
11/9/2014,51
11/16/2014,46
11/23/2014,24
11/30/2014,20
12/7/2014,9
12/14/2014,8
12/21/2014,0
12/28/2014,3
