,Colombia,ColombiaBorderPlusGT,ColombiaPlusGT,ColombiaPlusGTByState,ColombiaPlusGTBySymptom,DengueGT_CO,GTByStateVenAndCol,GTVenezuela
41,,DolorCabeza-CesarGT-CO,Dengue-CordobaGT-CO,,,Fiebre-PutumayoGT-CO,,
42,,DolorGarganta-NorthSantanderGT-CO,Dengue-LaGuajiraGT-CO,,,Fiebre-QuindioGT-CO,,
43,,Fiebre-AraucaGT-CO,Dengue-MagdalenaGT-CO,,,Fiebre-SanAndrésandProvidenciaGT-CO,,
44,,Fiebre-BoyacaGT-CO,Dengue-NarinoGT-CO,,,Fiebre-SucreGT-CO,,
45,,Fiebre-LaGuajiraGT-CO,Dengue-NorthSantanderGT-CO,,,Fiebre-TolimaGT-CO,,
46,,Fiebre-NorthSantanderGT-CO,Dengue-QuindioGT-CO,,,Nausea-AtlanticoGT-CO,,
47,,Vomito-BoyacaGT-CO,Dengue-SucreGT-CO,,,Nausea-BogotaGT-CO,,
48,,Vomito-CesarGT-CO,Dengue-TolimaGT-CO,,,Nausea-MetaGT-CO,,
49,,Vomito-LaGuajiraGT-CO,DolorCabeza-BogotaGT-CO,,,Vomito-BogotaGT-CO,,
50,,Vomito-NorthSantanderGT-CO,DolorCabeza-BoyacaGT-CO,,,Vomito-BoyacaGT-CO,,
51,,,DolorCabeza-CaldasGT-CO,,,Vomito-CaldasGT-CO,,
52,,,DolorCabeza-CasanareGT-CO,,,Vomito-CasanareGT-CO,,
53,,,DolorCabeza-CesarGT-CO,,,Vomito-CesarGT-CO,,
54,,,DolorCabeza-CordobaGT-CO,,,Vomito-CordobaGT-CO,,
55,,,DolorCabeza-HuilaGT-CO,,,Vomito-HuilaGT-CO,,
56,,,DolorCabeza-MagdalenaGT-CO,,,Vomito-LaGuajiraGT-CO,,
57,,,DolorCabeza-NarinoGT-CO,,,Vomito-MagdalenaGT-CO,,
58,,,DolorCabeza-QuindioGT-CO,,,Vomito-NarinoGT-CO,,
59,,,DolorCabeza-SucreGT-CO,,,Vomito-NorthSantanderGT-CO,,
60,,,DolorCabeza-TolimaGT-CO,,,Vomito-QuindioGT-CO,,
61,,,DolorGarganta-AtlanticoGT-CO,,,Vomito-SucreGT-CO,,
62,,,DolorGarganta-BogotaGT-CO,,,Vomito-TolimaGT-CO,,
63,,,DolorGarganta-BolivarGT-CO,,,Dengue-CundinamarcaGT-CO,,
64,,,DolorGarganta-NorthSantanderGT-CO,,,,,
65,,,DolorGarganta-RisaraldaGT-CO,,,,,
66,,,DolorMusculo-BogotaGT-CO,,,,,
67,,,DolorOjos-BogotaGT-CO,,,,,
68,,,Fiebre-AraucaGT-CO,,,,,
69,,,Fiebre-BogotaGT-CO,,,,,
70,,,Fiebre-BoyacaGT-CO,,,,,
71,,,Fiebre-CaquetáGT-CO,,,,,
72,,,Fiebre-CasanareGT-CO,,,,,
73,,,Fiebre-LaGuajiraGT-CO,,,,,
74,,,Fiebre-MagdalenaGT-CO,,,,,
75,,,Fiebre-NarinoGT-CO,,,,,
76,,,Fiebre-NorthSantanderGT-CO,,,,,
77,,,Fiebre-PutumayoGT-CO,,,,,
78,,,Fiebre-QuindioGT-CO,,,,,
79,,,Fiebre-SanAndrésandProvidenciaGT-CO,,,,,
80,,,Fiebre-SucreGT-CO,,,,,
81,,,Fiebre-TolimaGT-CO,,,,,
82,,,Nausea-AtlanticoGT-CO,,,,,
83,,,Nausea-BogotaGT-CO,,,,,
84,,,Nausea-MetaGT-CO,,,,,
85,,,Vomito-BogotaGT-CO,,,,,
86,,,Vomito-BoyacaGT-CO,,,,,
87,,,Vomito-CaldasGT-CO,,,,,
88,,,Vomito-CasanareGT-CO,,,,,
89,,,Vomito-CesarGT-CO,,,,,
90,,,Vomito-CordobaGT-CO,,,,,
91,,,Vomito-HuilaGT-CO,,,,,
92,,,Vomito-LaGuajiraGT-CO,,,,,
93,,,Vomito-MagdalenaGT-CO,,,,,
94,,,Vomito-NarinoGT-CO,,,,,
95,,,Vomito-NorthSantanderGT-CO,,,,,
96,,,Vomito-QuindioGT-CO,,,,,
97,,,Vomito-SucreGT-CO,,,,,
98,,,Vomito-TolimaGT-CO,,,,,
99,,,Dengue-CundinamarcaGT-CO,,,,,
